index,price,brand,model,year,condition,transmission,fuel_type,kilometers_run
233,2880000,toyota,hiace,2020,reconditioned,automatic,petrol,67140
234,4690000,toyota,noah,2022,reconditioned,automatic,hybrid,36000
235,4350000,honda,civic,2020,reconditioned,automatic,hybrid,48521
236,4350000,toyota,premio,2019,reconditioned,automatic,petrol,18000
237,7400000,toyota,harrier,2020,reconditioned,automatic,petrol,57000
238,4180000,toyota,esquire,2021,reconditioned,automatic,hybrid,72000
239,1695000,toyota,axio,2013,used,automatic,"cng, octane",68532
240,5350000,toyota,corolla cross,2024,reconditioned,automatic,hybrid,3120
241,6550000,toyota,noah,2023,reconditioned,automatic,"petrol, octane",23000
242,3630000,toyota,prius,2020,reconditioned,automatic,hybrid,62000
243,2280000,toyota,axio,2020,reconditioned,automatic,"petrol, hybrid, octane",78500
244,6300000,toyota,noah,2022,reconditioned,automatic,"petrol, octane",17100
245,3600000,toyota,yaris cross,2021,reconditioned,automatic,"petrol, hybrid, octane",89000
246,5650000,toyota,corolla cross,2025,reconditioned,automatic,"petrol, hybrid, octane",1
247,3800000,toyota,noah,2021,reconditioned,automatic,"petrol, octane",81000
248,2350000,toyota,axio,2020,reconditioned,automatic,"petrol, hybrid, octane",39800
249,3500000,toyota,esquire,2020,reconditioned,automatic,hybrid,93000
250,3850000,toyota,c-hr,2020,reconditioned,automatic,"petrol, hybrid, octane",40401
251,3490000,mazda,mx-3,2022,used,automatic,petrol,13000
252,7290000,lexus,nx,2018,reconditioned,automatic,"hybrid, octane",25000
253,10900000,audi,q7,2017,used,automatic,petrol,20000
254,7090000,audi,a6,2017,used,automatic,octane,10000
255,4760000,toyota,premio,2021,reconditioned,automatic,"petrol, octane",27000
256,4350000,toyota,hiace,2020,reconditioned,automatic,"petrol, octane",71590
257,3360000,toyota,esquire,2020,reconditioned,automatic,hybrid,89453
258,3700000,toyota,noah,2020,reconditioned,automatic,"hybrid, octane",92500
259,4000000,toyota,noah,2020,reconditioned,automatic,"petrol, octane",74000
260,3900000,toyota,esquire,2020,reconditioned,automatic,"petrol, hybrid, octane",121574
261,2310000,toyota,axio,2020,reconditioned,automatic,"petrol, octane",53467
262,5250000,nissan,x-trail,2020,reconditioned,automatic,"petrol, octane",65432
263,6700000,toyota,harrier,2019,reconditioned,automatic,octane,28808
264,3350000,toyota,hiace,2020,reconditioned,automatic,"petrol, octane",65200
